ACTION_OCCURRENCE_ID|ADDS_TO_BUDGET|ASSIGN_WORK_MEASURE_ID|ASSIGNMENT_ID|BUSINESS_GROUP_ID|FFECTIVE_START_DATE|EFFECTIVE_END_DATE|UNIT|VALUE|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
|Y|ASG_FTE_P533|ASSIG533||2002-09-04|4712-12-31|FTE|1||
|Y|ASG_FTE_P534|ASSIG534||2002-09-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P535|ASSIG535||2002-09-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P536|ASSIG536||2002-09-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P537|ASSIG537||2002-09-17|4712-12-31|FTE|1||
|Y|ASG_FTE_P538|ASSIG538||2002-09-17|4712-12-31|FTE|1||
|Y|ASG_FTE_P541|ASSIG541||2002-10-22|4712-12-31|FTE|1||
|Y|ASG_FTE_P542|ASSIG542||2002-10-31|4712-12-31|FTE|1||
|Y|ASG_FTE_P543|ASSIG543||2002-12-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P544|ASSIG544||2002-12-24|4712-12-31|FTE|1||
|Y|ASG_FTE_P545|ASSIG545||2003-01-31|4712-12-31|FTE|1||
|Y|ASG_FTE_P546|ASSIG546||2003-01-31|4712-12-31|FTE|1||
|Y|ASG_FTE_P547|ASSIG547||2003-02-10|4712-12-31|FTE|1||
|Y|ASG_FTE_P548|ASSIG548||2003-02-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P549|ASSIG549||2003-02-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P550|ASSIG550||2003-03-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P551|ASSIG551||2003-04-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P552|ASSIG552||2003-04-22|4712-12-31|FTE|1||
|Y|ASG_FTE_P553|ASSIG553||2003-05-06|4712-12-31|FTE|1||
|Y|ASG_FTE_P554|ASSIG554||2003-05-07|4712-12-31|FTE|1||
|Y|ASG_FTE_P555|ASSIG555||2003-05-12|4712-12-31|FTE|1||
|Y|ASG_FTE_P556|ASSIG556||2003-05-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P557|ASSIG557||2003-05-26|4712-12-31|FTE|1||
|Y|ASG_FTE_P558|ASSIG558||2003-06-02|4712-12-31|FTE|1||
|Y|ASG_FTE_P559|ASSIG559||2003-06-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P560|ASSIG560||2003-06-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P561|ASSIG561||2003-06-23|4712-12-31|FTE|1||
|Y|ASG_FTE_P562|ASSIG562||2003-06-30|4712-12-31|FTE|1||
|Y|ASG_FTE_P563|ASSIG563||2003-06-30|4712-12-31|FTE|1||
|Y|ASG_FTE_P564|ASSIG564||2003-07-09|4712-12-31|FTE|1||
|Y|ASG_FTE_P565|ASSIG565||2003-07-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P566|ASSIG566||2003-07-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P567|ASSIG567||2003-07-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P568|ASSIG568||2003-08-26|4712-12-31|FTE|1||
|Y|ASG_FTE_P569|ASSIG569||2003-09-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P570|ASSIG570||2003-10-07|4712-12-31|FTE|1||
|Y|ASG_FTE_P571|ASSIG571||2003-09-30|4712-12-31|FTE|1||
|Y|ASG_FTE_P572|ASSIG572||2003-10-15|4712-12-31|FTE|1||
|Y|ASG_FTE_P573|ASSIG573||2003-10-28|4712-12-31|FTE|1||
|Y|ASG_FTE_P574|ASSIG574||2003-11-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P575|ASSIG575||2003-11-21|4712-12-31|FTE|1||
|Y|ASG_FTE_P576|ASSIG576||2003-11-03|4712-12-31|FTE|1||
|Y|ASG_FTE_P577|ASSIG577||2003-12-08|4712-12-31|FTE|1||
|Y|ASG_FTE_P578|ASSIG578||2003-12-22|4712-12-31|FTE|1||
|Y|ASG_FTE_P579|ASSIG579||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P580|ASSIG580||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P581|ASSIG581||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P582|ASSIG582||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P583|ASSIG583||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P584|ASSIG584||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P585|ASSIG585||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P586|ASSIG586||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P587|ASSIG587||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P589|ASSIG589||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P591|ASSIG591||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P592|ASSIG592||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P593|ASSIG593||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P594|ASSIG594||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P595|ASSIG595||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P596|ASSIG596||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P597|ASSIG597||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P598|ASSIG598||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P599|ASSIG599||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P601|ASSIG601||2004-01-05|4712-12-31|FTE|1||
|Y|ASG_FTE_P602|ASSIG602||2003-12-29|4712-12-31|FTE|1||
|Y|ASG_FTE_P603|ASSIG603||2004-02-13|4712-12-31|FTE|1||
|Y|ASG_FTE_P604|ASSIG604||2004-02-16|4712-12-31|FTE|1||
