POSITION_ID|EFFECTIVE_START_DATE|EFFECTIVE_END_DATE|BUSINESS_UNIT_ID|POSITION_CODE|BUSINESS_GROUP_ID|ORGANIZATION_ID|JOB_ID|LOCATION_ID|ENTRY_GRADE_ID|ENTRY_STEP_ID|ACTIVE_STATUS|SUPERVISOR_ID|SUPERVISOR_ASSIGNMENT_ID|ACTION_OCCURRENCE_ID|PERMANENT_TEMPORARY_FLAG|FTE|HIRING_STATUS|FULL_PART_TIME|FREQUENCY|TIME_NORMAL_START|TIME_NORMAL_FINISH|POSITION_TYPE|PROBATION_PERIOD_UNIT_CD|BARGAINING_UNIT_CD|MAX_PERSONS|WORKING_HOURS|OVERLAP_ALLOWED|SEASONAL_FLAG|PROBATION_PERIOD|SEASONAL_END_DATE|SECURITY_CLEARANCE|SEASONAL_START_DATE|ATTRIBUTE_CATEGORY|NAME|FT_ALTERNATE_REC|FT_ALTERNATE_KEY
KTGA_POS_593|2010-02-01|2015-03-15|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_593|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_72|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||3|40||N||||||Главный менеджер Департамент планирования денежных потоков|POSITION_DATA|KTGA_POS_593
KTGA_POS_539|2010-05-13|2014-12-21|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_539|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_70|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||3|40||N||||||Главный менеджер Центральная бухгалтерия|POSITION_DATA|KTGA_POS_539
KTGA_POS_595|2010-07-01|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_595|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_75|KTGA_JOB_409|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Главный менеджер Департамент управления персоналом|POSITION_DATA|KTGA_POS_595
KTGA_POS_601|2010-08-16|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_601|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_144|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент экономики и тарифообразования|POSITION_DATA|KTGA_POS_601
KTGA_POS_604|2010-10-12|2013-06-03|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_604|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_57|KTGA_JOB_604|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||7|40||N||||||Управляющий директор Администрация|POSITION_DATA|KTGA_POS_604
KTGA_POS_611|2011-06-13|2013-06-19|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_611|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_146|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||2|40||N||||||Менеджер Пресс-служба|POSITION_DATA|KTGA_POS_611
KTGA_POS_610|2011-06-13|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_610|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_146|KTGA_JOB_570|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Руководитель Пресс-служба|POSITION_DATA|KTGA_POS_610
KTGA_POS_615|2011-08-11|2014-12-01|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_615|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_147|KTGA_JOB_39|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||POOLED|||4|40||N||||||Менеджер Департамент по сервисным проектам|POSITION_DATA|KTGA_POS_615
KTGA_POS_613|2011-08-11|4712-12-31|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_613|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_147|KTGA_JOB_38|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Директор Департамент по сервисным проектам|POSITION_DATA|KTGA_POS_613
KTGA_POS_612|2011-08-11|2013-08-26|1595C93AA3F5DCB2E053A747660A09BD|KTGA_POS_612|11A3CAC8E20AB4E6E053A747660AF6EC|KTGA_DEP_57|KTGA_JOB_612|1595C93AA609DCB2E053A747660A09BD|||A||||R|1|APPROVED|FULL_TIME|W|||SINGLE|||1|40||N||||||Советник Администрация|POSITION_DATA|KTGA_POS_612
